kind_code,kind_desc,model,color_desc,D_COLOR,meter_reading,eval_date,initial_price,سعر الشراء,suggested_price,car_age
135,شفر فينشر,1998,فضي,2700,153345,20020702,3100,3200,3395,4
3300,ميتسوبيشي,2001,ابيض / رمـــادي,2001,720010,20020713,0,1900,0,1
1106,اودى GT,1998,اخضر / رمـــادي,501,15009,20020716,2000,2350,2295,4
3525,باترول -قماش,1993,اخضر ف / رمـادي,601,101565,20020716,2300,2800,2595,9
511,رود ماستر,1992,عنابىغ / احمر,2203,102299,20020716,600,1000,795,10
121,شفر بليـزر,1995,اسود / اســــود,406,106737,20020716,1600,1900,1895,7
116,شفر سوبربان 454,1997,بني / رمــــادي,1001,64886,20020716,4900,5000,5295,5
105,شفر كابرس كلاسيك,1993,عنابىغ / احمر,2203,193433,20020716,1000,1300,1295,9
3805,فورد جراند ماركيـــز,1996,اخضر / رمـــادي,501,191712,20020716,1500,1700,1795,6
3805,فورد جراند ماركيـــز,1997,اسود / اســــود,406,90454,20020716,2100,2200,2395,5
4700,لكزس,1993,ذهبي / رمـــادي,1401,205414,20020716,2000,2300,2295,9
3108,مرسيدس E 230,1994,ابيض /  ا ز ر ق,2002,180388,20020716,2000,2400,2295,8
3636,تويوتا كامرى 4 سلندر,2000,ابيض /  ا ز ر ق,2002,76396,20020717,2900,3000,3195,2
523,جيب سبورت,1996,اخضر / بيـــــج,504,211292,20020717,2200,2950,2495,6
3805,فورد جراند ماركيـــز,1996,ابيض /  ا ز ر ق,2002,800800,20020717,1600,2000,1895,6
3705,هوندا Accord,1999,بنفسجي / رمادي,2407,71905,20020717,2400,2550,2695,3
3719,هوندا بوكس,1998,كحلي /  ا ز ر ق,802,114561,20020717,2700,2800,2995,4
3902,سوزوكى ارتيجا GLX,1996,كحلي /  ا ز ر ق,802,105628,20020718,1400,1550,1695,6
804,كرايزلر فويجر,1996,رصاصى / رمــادي,1301,132972,20020718,1600,1855,1895,6
3515,نيسان باثفنيدر,2000,ذهبي / بيـــــج,1404,44333,20020718,4300,4550,4695,2
601,GMC سوبربان,1996,اخضر / بيـــــج,504,157841,20020720,4500,4700,4795,6
3650,تويوتا ايكو,2000,بيج / رمــــادي,1501,835478,20020720,1500,1570,1795,2
102,شفر كابرس بروجهــام,2001,رمادى / رمــادى,1201,31000,20020720,4300,4300,4600,1
1326,BMW 528,1997,اخضر / بيـــــج,504,136945,20020721,4500,4500,4795,5
1304,BMW 730 I,1995,اخضر / بيـــــج,504,115733,20020721,3600,3700,3895,7
3641,تويوتا جيب,2001,رمادى / بيــــج,1204,36718,20020721,9500,9500,0,1
4600,ســـوبـــارو,1996,ابيض /  ا ز ر ق,2002,133943,20020721,600,750,895,6
105,شفر كابرس كلاسيك,1996,ابيض /  ا ز ر ق,2002,155791,20020721,1800,2000,2195,6
402,كاديلاك ديفيـــل,1994,اخضر / بيـــــج,504,248977,20020721,850,1210,950,8
3409,مازدا 323,1997,ابيض /  ا ز ر ق,2002,172663,20020721,600,700,895,5
3117,مرسيدس E 300,1991,عنابىغ / بيج,2204,222167,20020721,1700,2000,1995,11
4107,نيسان مكسيما,1999,ابيض /  ا ز ر ق,2002,56098,20020721,2900,2950,3295,3
4107,نيسان مكسيما,1998,ذهبي / بيـــــج,1404,157808,20020721,1650,2100,1895,4
522,جيب كاونترى,1994,اسود / اســــود,406,119129,20020722,900,900,1195,8
511,رود ماستر,1992,ابيض /  ا ز ر ق,2002,159449,20020722,750,850,895,10
3108,مرسيدس E 230,1993,احمر / بيـــــج,104,241114,20020722,1700,1750,1895,9
905,دودج انتربيد,1997,احمر / بيـــــج,104,108134,20020723,600,600,795,5
119,شفر وانيت بي 10,1998,ابيض /  ا ز ر ق,2002,104799,20020723,950,950,1195,4
4107,نيسان مكسيما,1995,عنابىغ / بيج,2204,129375,20020723,1400,1500,1695,7
3705,هوندا Accord,1992,عنابىغ / بيج,2204,256086,20020723,800,850,995,10
121,شفر بليـزر,1993,عنابي / احمـــر,203,186544,20020724,1400,1570,1595,9
3805,فورد جراند ماركيـــز,1998,ابيض /  ا ز ر ق,2002,82257,20020724,3000,3100,3295,4
4107,نيسان مكسيما,1997,رمادى / ابيـــض,1207,115846,20020724,1700,1800,1895,5
1300,BMW,1997,اسود / اســــود,406,949350,20020725,3000,3450,3295,5
102,شفر كابرس بروجهــام,1995,ابيض /  ا ز ر ق,2002,161125,20020725,1500,1550,1695,7
