CAR_KIND_CODE,CAR_KIND_DESC,company name,D_COST_PRICE,CAR_METER,COLOR_CODE,MODEL_YEAR,CAR_CLASS,car_age,car_colour
603.0,GMC وانيت,GMC,3250.0,0.0,2000.0,2014.0,USED,9,ابيض
603.0,GMC وانيت,GMC,7800.0,0.0,2000.0,2017.0,USED,5,ابيض
603.0,GMC وانيت,GMC,7500.0,0.0,2000.0,2018.0,USED,4,ابيض
603.0,GMC وانيت,GMC,5200.0,0.0,2000.0,2018.0,USED,4,ابيض
603.0,GMC وانيت,GMC,5300.0,0.0,2000.0,2015.0,USED,7,ابيض
603.0,GMC وانيت,GMC,6100.0,0.0,2000.0,2015.0,USED,6,ابيض
603.0,GMC وانيت,GMC,8000.0,0.0,2000.0,2018.0,USED,3,ابيض
603.0,GMC وانيت,GMC,6400.0,0.0,2000.0,2018.0,USED,3,ابيض
603.0,GMC وانيت,GMC,5500.0,0.0,2000.0,2016.0,USED,5,ابيض
603.0,GMC وانيت,GMC,7200.0,54643.0,2000.0,2018.0,USED,4,ابيض
603.0,GMC وانيت,GMC,15200.0,0.0,2000.0,2019.0,USED,3,ابيض
603.0,GMC وانيت,GMC,2200.0,0.0,2000.0,2010.0,USED,12,ابيض
603.0,GMC وانيت,GMC,3600.0,79934.0,2000.0,2015.0,USED,4,ابيض
603.0,GMC وانيت,GMC,6000.0,0.0,2000.0,2013.0,USED,9,ابيض
603.0,GMC وانيت,GMC,5450.0,0.0,2000.0,2016.0,USED,4,ابيض
603.0,GMC وانيت,GMC,3700.0,0.0,2000.0,2011.0,USED,9,ابيض
603.0,GMC وانيت,GMC,2000.0,0.0,2000.0,2009.0,USED,10,ابيض
603.0,GMC وانيت,GMC,5400.0,0.0,2000.0,2015.0,USED,4,ابيض
603.0,GMC وانيت,GMC,6000.0,0.0,2000.0,2016.0,USED,3,ابيض
603.0,GMC وانيت,GMC,3500.0,0.0,2000.0,2012.0,USED,7,ابيض
603.0,GMC وانيت,GMC,2500.0,0.0,2000.0,2009.0,USED,10,ابيض
603.0,GMC وانيت,GMC,7000.0,0.0,2000.0,2011.0,USED,8,ابيض
603.0,GMC وانيت,GMC,2400.0,0.0,2000.0,2009.0,USED,10,ابيض
603.0,GMC وانيت,GMC,4000.0,0.0,2000.0,2014.0,USED,5,ابيض
603.0,GMC وانيت,GMC,5299.0,80291.0,2000.0,2015.0,USED,4,ابيض
603.0,GMC وانيت,GMC,3758.0,74471.0,2000.0,2014.0,USED,5,ابيض
603.0,GMC وانيت,GMC,5400.0,120346.0,2000.0,2015.0,USED,4,ابيض
603.0,GMC وانيت,GMC,5000.0,77185.0,2000.0,2015.0,USED,4,ابيض
603.0,GMC وانيت,GMC,4550.0,103893.0,2000.0,2016.0,USED,3,ابيض
603.0,GMC وانيت,GMC,5600.0,121212.0,2000.0,2015.0,USED,4,ابيض
603.0,GMC وانيت,GMC,2250.0,135.0,2000.0,2011.0,USED,8,ابيض
603.0,GMC وانيت,GMC,4725.25,60024.0,2000.0,2016.0,USED,3,ابيض
603.0,GMC وانيت,GMC,6200.0,0.0,2000.0,2017.0,USED,4,ابيض
603.0,GMC وانيت,GMC,6500.0,0.0,2000.0,2017.0,USED,4,ابيض
603.0,GMC وانيت,GMC,6000.0,0.0,2000.0,2016.0,USED,4,ابيض
603.0,GMC وانيت,GMC,4000.0,0.0,2000.0,2015.0,USED,5,ابيض
603.0,GMC وانيت,GMC,6300.0,0.0,2000.0,2016.0,USED,4,ابيض
603.0,GMC وانيت,GMC,7200.0,0.0,2000.0,2017.0,USED,2,ابيض
603.0,GMC وانيت,GMC,5400.0,0.0,2000.0,2016.0,USED,3,ابيض
603.0,GMC وانيت,GMC,2000.0,0.0,2000.0,2009.0,USED,10,ابيض
603.0,GMC وانيت,GMC,7899.0,38829.0,2000.0,2018.0,USED,4,ابيض
603.0,GMC وانيت,GMC,3730.0,117597.0,2000.0,2014.0,USED,5,ابيض
603.0,GMC وانيت,GMC,6050.0,68000.0,2000.0,2016.0,USED,3,ابيض
603.0,GMC وانيت,GMC,5300.0,100361.0,2000.0,2015.0,USED,4,ابيض
603.0,GMC وانيت,GMC,6600.0,0.0,100.0,2016.0,USED,6,احمر
603.0,GMC وانيت,GMC,5385.0,0.0,100.0,2016.0,USED,6,احمر
603.0,GMC وانيت,GMC,5000.0,0.0,100.0,2013.0,USED,9,احمر
603.0,GMC وانيت,GMC,6300.0,0.0,100.0,2017.0,USED,4,احمر
603.0,GMC وانيت,GMC,7200.0,0.0,100.0,2018.0,USED,3,احمر
603.0,GMC وانيت,GMC,2800.0,0.0,100.0,2013.0,USED,7,احمر
603.0,GMC وانيت,GMC,8500.0,0.0,100.0,2021.0,USED,1,احمر
603.0,GMC وانيت,GMC,4600.0,0.0,100.0,2014.0,USED,7,احمر
603.0,GMC وانيت,GMC,7900.0,0.0,100.0,2018.0,USED,2,احمر
603.0,GMC وانيت,GMC,10200.0,0.0,100.0,2019.0,USED,1,احمر
603.0,GMC وانيت,GMC,6000.0,0.0,100.0,2015.0,USED,4,احمر
603.0,GMC وانيت,GMC,9950.0,800.0,100.0,2018.0,USED,1,احمر
603.0,GMC وانيت,GMC,9500.0,100.0,100.0,2018.0,USED,1,احمر
603.0,GMC وانيت,GMC,6200.0,0.0,100.0,2017.0,USED,2,احمر
603.0,GMC وانيت,GMC,1695.0,169395.0,100.0,2015.0,USED,5,احمر
603.0,GMC وانيت,GMC,11000.0,70.0,100.0,2018.0,USED,1,احمر
603.0,GMC وانيت,GMC,5700.0,0.0,700.0,2017.0,USED,6,ازرق
603.0,GMC وانيت,GMC,6000.0,0.0,700.0,2016.0,USED,6,ازرق
603.0,GMC وانيت,GMC,7500.0,0.0,700.0,2016.0,USED,3,ازرق
603.0,GMC وانيت,GMC,6400.0,0.0,700.0,2017.0,USED,3,ازرق
603.0,GMC وانيت,GMC,2000.0,0.0,400.0,2011.0,USED,12,اسود
603.0,GMC وانيت,GMC,8500.0,0.0,400.0,2019.0,USED,3,اسود
603.0,GMC وانيت,GMC,4600.0,0.0,400.0,2015.0,USED,7,اسود
603.0,GMC وانيت,GMC,15500.0,0.0,400.0,2020.0,USED,1,اسود
603.0,GMC وانيت,GMC,8500.0,0.0,400.0,2018.0,USED,3,اسود
603.0,GMC وانيت,GMC,8300.0,0.0,400.0,2018.0,USED,2,اسود
603.0,GMC وانيت,GMC,6500.0,0.0,400.0,2014.0,USED,5,اسود
603.0,GMC وانيت,GMC,3000.0,0.0,400.0,2012.0,USED,7,اسود
603.0,GMC وانيت,GMC,7500.0,0.0,400.0,2019.0,USED,3,اسود
603.0,GMC وانيت,GMC,3000.0,0.0,400.0,2012.0,USED,10,اسود
603.0,GMC وانيت,GMC,4600.0,0.0,400.0,2014.0,USED,5,اسود
603.0,GMC وانيت,GMC,3700.0,0.0,400.0,2013.0,USED,6,اسود
603.0,GMC وانيت,GMC,5350.0,0.0,400.0,2016.0,USED,3,اسود
603.0,GMC وانيت,GMC,7000.0,0.0,1001.0,2018.0,USED,2,بني
603.0,GMC وانيت,GMC,4000.0,0.0,1001.0,2013.0,USED,8,بني
603.0,GMC وانيت,GMC,5000.0,0.0,1001.0,2018.0,USED,4,بني
603.0,GMC وانيت,GMC,3200.0,0.0,1001.0,2013.0,USED,6,بني
603.0,GMC وانيت,GMC,7300.0,0.0,1001.0,2018.0,USED,1,بني
603.0,GMC وانيت,GMC,5500.0,0.0,1001.0,2014.0,USED,5,بني
603.0,GMC وانيت,GMC,4500.0,0.0,1001.0,2013.0,USED,6,بني
603.0,GMC وانيت,GMC,7600.0,45000.0,1001.0,2018.0,USED,3,بني
603.0,GMC وانيت,GMC,3100.0,0.0,1001.0,2012.0,USED,8,بني
603.0,GMC وانيت,GMC,9500.0,300.0,1001.0,2018.0,USED,1,بني
603.0,GMC وانيت,GMC,8000.0,0.0,1301.0,2014.0,USED,5,رصاصى
603.0,GMC وانيت,GMC,3200.0,0.0,1200.0,2013.0,USED,6,رمادي
603.0,GMC وانيت,GMC,5850.0,0.0,1200.0,2013.0,USED,6,رمادي
603.0,GMC وانيت,GMC,10000.0,0.0,1200.0,2020.0,USED,0,رمادي
603.0,GMC وانيت,GMC,5800.0,0.0,1200.0,2016.0,USED,3,رمادي
603.0,GMC وانيت,GMC,6150.0,0.0,1211.0,2015.0,USED,6,رمادى غامق
603.0,GMC وانيت,GMC,6000.0,0.0,1211.0,2014.0,USED,5,رمادى غامق
603.0,GMC وانيت,GMC,3300.0,0.0,1211.0,2011.0,USED,10,رمادى غامق
603.0,GMC وانيت,GMC,4050.0,120000.0,1211.0,2016.0,USED,3,رمادى غامق
603.0,GMC وانيت,GMC,7399.0,60.0,1211.0,2018.0,USED,1,رمادى غامق
603.0,GMC وانيت,GMC,8000.0,0.0,1200.0,2017.0,USED,6,رمادي
603.0,GMC وانيت,GMC,11242.0,20000.0,1200.0,2021.0,USED,2,رمادي
603.0,GMC وانيت,GMC,4700.0,0.0,1950.0,2014.0,USED,7,ابيض صدفي
603.0,GMC وانيت,GMC,7400.0,0.0,1950.0,2014.0,USED,7,ابيض صدفي
603.0,GMC وانيت,GMC,7000.0,0.0,1950.0,2015.0,USED,4,ابيض صدفي
603.0,GMC وانيت,GMC,6400.0,0.0,200.0,2014.0,USED,6,عنابي
603.0,GMC وانيت,GMC,6900.0,0.0,200.0,2015.0,USED,4,عنابي
603.0,GMC وانيت,GMC,4300.0,0.0,2700.0,2012.0,USED,8,فضي
603.0,GMC وانيت,GMC,5650.0,0.0,2700.0,2013.0,USED,8,فضي
603.0,GMC وانيت,GMC,7000.0,0.0,2700.0,2017.0,USED,3,فضي
603.0,GMC وانيت,GMC,7150.0,0.0,2700.0,2018.0,USED,1,فضي
603.0,GMC وانيت,GMC,2900.0,0.0,2700.0,2013.0,USED,6,فضي
603.0,GMC وانيت,GMC,5450.0,0.0,2700.0,2015.0,USED,4,فضي
603.0,GMC وانيت,GMC,7000.0,0.0,2700.0,2017.0,USED,2,فضي
