CAR_KIND_CODE,CAR_KIND_DESC,company name,D_COST_PRICE,CAR_METER,COLOR_CODE,MODEL_YEAR,CAR_CLASS,selling_year,car_age,car_colour,car_origin
1320,BMW 320 I 4DOOR,BMW,3000.0,58787,400,2014,USED,2019,5,اسود,other company
1336,BMW 325 CI,BMW,1200.0,79905,2000,2012,USED,2019,7,ابيض,other company
1351,BMW 420 I,BMW,5100.0,87500,400,2016,USED,2022,6,اسود,other company
1351,BMW 420 I,BMW,5230.0,65214,400,2016,USED,2019,3,اسود,other company
1351,BMW 420 I,BMW,6500.0,37459,1200,2017,USED,2019,2,رمادي,other company
1309,BMW 520 I,BMW,5399.0,95500,2000,2016,USED,2023,7,ابيض,other company
1309,BMW 520 I,BMW,8250.0,20000,2000,2016,USED,2019,3,ابيض,other company
1309,BMW 520 I,BMW,10000.0,23400,400,2019,USED,2022,3,اسود,other company
1309,BMW 520 I,BMW,3500.0,66965,1400,2015,USED,2019,4,ذهبي,other company
1309,BMW 520 I,BMW,9145.0,36236,1200,2019,USED,2022,3,رمادي,other company
1309,BMW 520 I,BMW,9500.0,64014,1200,2019,USED,2022,3,رمادي,other company
1309,BMW 520 I,BMW,9700.0,64082,801,2019,USED,2022,3,كحلي,other company
1331,BMW 520 Luxury,BMW,10900.0,73175,1001,2016,USED,2019,3,بني,other company
1325,BMW 523,BMW,3211.0,73132,1200,2011,USED,2019,8,رمادي,other company
1325,BMW 523,BMW,1900.0,160952,1200,2012,USED,2019,7,رمادي,other company
1326,BMW 528,BMW,3500.0,82000,400,2014,USED,2021,7,اسود,other company
1310,BMW 528 I,BMW,2400.0,79500,2000,2014,USED,2019,5,ابيض,other company
1310,BMW 528 I,BMW,4775.0,48895,700,2016,USED,2022,6,ازرق,other company
1333,BMW 530 I,BMW,12850.0,25000,1211,2019,USED,2022,3,رمادى غامق,other company
1350,BMW 640 AI,BMW,4190.0,76584,400,2015,USED,2022,7,اسود,other company
1355,BMW 640 I,BMW,8500.0,12500,2000,2015,USED,2022,7,ابيض,other company
1355,BMW 640 I,BMW,8533.0,61019,2000,2016,USED,2019,3,ابيض,other company
1355,BMW 640 I,BMW,9000.0,52700,100,2016,USED,2019,3,احمر,other company
1355,BMW 640 I,BMW,8573.0,48457,100,2016,USED,2019,3,احمر,other company
1355,BMW 640 I,BMW,7700.0,74000,400,2013,USED,2019,6,اسود,other company
1355,BMW 640 I,BMW,9250.0,52355,1001,2015,USED,2019,4,بني,other company
1323,BMW 730 IL,BMW,6000.0,140887,2000,2015,USED,2019,4,ابيض,other company
1323,BMW 730 IL,BMW,7700.0,71400,400,2015,USED,2020,5,اسود,other company
1323,BMW 730 IL,BMW,9575.0,97517,1211,2018,USED,2023,5,رمادى غامق,other company
1321,BMW 730 LI,BMW,2075.0,71635,1200,2011,USED,2021,10,رمادي,other company
1324,BMW 740,BMW,13635.0,48575,2000,2017,USED,2020,3,ابيض,other company
1324,BMW 740,BMW,5000.0,46531,2000,2013,USED,2019,6,ابيض,other company
1324,BMW 740,BMW,12700.0,38119,1400,2018,USED,2020,2,ذهبي,other company
1324,BMW 740,BMW,11900.0,62000,1200,2017,USED,2021,4,رمادي,other company
1324,BMW 740,BMW,18250.0,30000,1200,2018,USED,2020,2,رمادي,other company
1324,BMW 740,BMW,11200.0,40210,1200,2017,USED,2022,5,رمادي,other company
1343,BMW X1,BMW,6100.0,62885,2000,2016,USED,2020,4,ابيض,other company
1343,BMW X1,BMW,11500.0,23160,700,2022,USED,2023,1,ازرق,other company
1343,BMW X1,BMW,11150.0,12000,2700,2019,USED,2020,1,فضي,other company
1363,BMW X2,BMW,9200.0,23000,700,2018,USED,2020,2,ازرق,other company
1342,BMW X3,BMW,14275.0,3443,2000,2021,USED,2021,0,ابيض,other company
1342,BMW X3,BMW,1400.0,121956,700,2011,USED,2019,8,ازرق,other company
1342,BMW X3,BMW,11200.0,65525,700,2019,USED,2022,3,ازرق,other company
1342,BMW X3,BMW,6599.0,80342,400,2017,USED,2022,5,اسود,other company
1342,BMW X3,BMW,11199.0,38454,400,2019,USED,2022,3,اسود,other company
1342,BMW X3,BMW,10700.0,49195,400,2019,USED,2020,1,اسود,other company
1342,BMW X3,BMW,1700.0,132975,1400,2012,USED,2019,7,ذهبي,other company
1342,BMW X3,BMW,11800.0,59000,1200,2019,USED,2022,3,رمادي,other company
1354,BMW X4,BMW,11750.0,15000,100,2018,USED,2020,2,احمر,other company
1354,BMW X4,BMW,4300.0,88759,1200,2016,USED,2020,4,رمادي,other company
1341,BMW X5,BMW,22300.0,27000,2000,2019,USED,2021,2,ابيض,other company
1341,BMW X5,BMW,28500.0,11200,700,2020,USED,2020,0,ازرق,other company
1341,BMW X5,BMW,17500.0,46686,400,2019,USED,2022,3,اسود,other company
1341,BMW X5,BMW,7750.0,72599,1001,2015,USED,2020,5,بني,other company
1341,BMW X5,BMW,16050.0,10000,1200,2018,USED,2019,1,رمادي,other company
1341,BMW X5,BMW,9851.5,64318,1200,2016,USED,2019,3,رمادي,other company
1341,BMW X5,BMW,3750.0,117050,1200,2011,USED,2020,9,رمادي,other company
1341,BMW X5,BMW,19600.0,38322,1200,2019,USED,2021,2,رمادي,other company
1338,BMW X6,BMW,2679.0,116102,2000,2010,USED,2021,11,ابيض,other company
1338,BMW X6,BMW,13999.0,46097,2000,2019,USED,2022,3,ابيض,other company
1338,BMW X6,BMW,11900.0,48525,1200,2017,USED,2021,4,رمادي,other company
1338,BMW X6,BMW,10875.0,58414,1200,2016,USED,2019,3,رمادي,other company
1338,BMW X6,BMW,12300.0,42304,1200,2017,USED,2020,3,رمادي,other company
1338,BMW X6,BMW,12000.0,75632,2700,2017,USED,2020,3,فضي,other company
1340,BMW Z4,BMW,15063.0,14001,2000,2021,USED,2021,0,ابيض,other company
1594,GAC GS4 1.5T GE TOP1,GAC,4800.0,228,200,2019,USED,2019,0,عنابي,other company
1583,GAC GS5,GAC,5100.0,5000,2700,2022,USED,2022,0,فضي,other company
1596,GAC GS7,GAC,3478.8,15612,2000,2020,USED,2022,2,ابيض,other company
1595,GAC GS8,GAC,6200.0,13700,2000,2022,USED,2023,1,ابيض,other company
1595,GAC GS8,GAC,4850.0,50000,2000,2020,USED,2022,2,ابيض,other company
1595,GAC GS8,GAC,10100.0,357,1200,2023,USED,2022,-1,رمادي,other company
4046,GEELY AZKARRA GC,GEELY,5503.0,1037,1200,2023,USED,2022,-1,رمادي,other company
4044,GEELY OKAVANGO GS,GEELY,5000.0,780,100,2023,USED,2022,-1,احمر,other company
4044,GEELY OKAVANGO GS,GEELY,2800.0,17818,2700,2021,USED,2022,1,فضي,other company
618,GMC اكاديا  SLE,GMC,7750.0,20000,2000,2019,USED,2022,3,ابيض,America
618,GMC اكاديا  SLE,GMC,7500.0,25000,2000,2019,USED,2022,3,ابيض,America
618,GMC اكاديا  SLE,GMC,1500.0,89598,2000,2015,USED,2019,4,ابيض,America
618,GMC اكاديا  SLE,GMC,7350.0,20000,400,2019,USED,2023,4,اسود,America
618,GMC اكاديا  SLE,GMC,7600.0,25000,400,2019,USED,2022,3,اسود,America
618,GMC اكاديا  SLE,GMC,7149.0,90000,400,2017,USED,2019,2,اسود,America
618,GMC اكاديا  SLE,GMC,8250.0,32575,400,2017,USED,2019,2,اسود,America
618,GMC اكاديا  SLE,GMC,7250.0,33000,1200,2019,USED,2022,3,رمادي,America
618,GMC اكاديا  SLE,GMC,6200.0,24927,1200,2019,USED,2021,2,رمادي,America
618,GMC اكاديا  SLE,GMC,7300.0,20000,1200,2019,USED,2021,2,رمادي,America
618,GMC اكاديا  SLE,GMC,7500.0,25000,1200,2019,USED,2022,3,رمادي,America
618,GMC اكاديا  SLE,GMC,7500.0,20000,1200,2019,USED,2022,3,رمادي,America
618,GMC اكاديا  SLE,GMC,7852.0,18000,1200,2019,USED,2022,3,رمادي,America
618,GMC اكاديا  SLE,GMC,7300.0,8000,1200,2019,USED,2021,2,رمادي,America
618,GMC اكاديا  SLE,GMC,7600.0,40000,200,2018,USED,2021,3,عنابي,America
618,GMC اكاديا  SLE,GMC,6300.0,46100,200,2017,USED,2019,2,عنابي,America
618,GMC اكاديا  SLE,GMC,4500.0,58000,2700,2015,USED,2019,4,فضي,America
618,GMC اكاديا  SLE,GMC,7399.0,35000,2700,2019,USED,2023,4,فضي,America
618,GMC اكاديا  SLE,GMC,7400.0,49777,2700,2019,USED,2023,4,فضي,America
618,GMC اكاديا  SLE,GMC,7349.0,25000,2700,2019,USED,2022,3,فضي,America
618,GMC اكاديا  SLE,GMC,7500.0,24000,2700,2019,USED,2022,3,فضي,America
618,GMC اكاديا  SLE,GMC,7250.0,33000,801,2019,USED,2022,3,كحلي,America
619,GMC ترين SLE,GMC,1500.0,32000,2000,2017,USED,2022,5,ابيض,America
619,GMC ترين SLE,GMC,5550.0,20000,2000,2018,USED,2022,4,ابيض,America
619,GMC ترين SLE,GMC,5850.0,20000,2000,2019,USED,2022,3,ابيض,America
619,GMC ترين SLE,GMC,3740.0,36949,400,2017,USED,2019,2,اسود,America
619,GMC ترين SLE,GMC,1100.0,84077,1400,2013,USED,2021,8,ذهبي,America
619,GMC ترين SLE,GMC,5499.0,16800,1200,2018,USED,2021,3,رمادي,America
619,GMC ترين SLE,GMC,1500.0,62825,1211,2016,USED,2019,3,رمادى غامق,America
619,GMC ترين SLE,GMC,6250.0,20000,1200,2020,USED,2022,2,رمادي,America
619,GMC ترين SLE,GMC,6400.0,15000,1200,2020,USED,2022,2,رمادي,America
619,GMC ترين SLE,GMC,5600.0,45625,200,2019,USED,2022,3,عنابي,America
619,GMC ترين SLE,GMC,4400.0,20830,200,2019,USED,2021,2,عنابي,America
619,GMC ترين SLE,GMC,5650.0,64000,2700,2019,USED,2022,3,فضي,America
619,GMC ترين SLE,GMC,3222.0,64235,2700,2017,USED,2021,4,فضي,America
619,GMC ترين SLE,GMC,5750.0,16673,2700,2018,USED,2019,1,فضي,America
619,GMC ترين SLE,GMC,4000.0,30000,801,2017,USED,2021,4,كحلي,America
621,GMC سيرا SLE,GMC,6350.0,70205,400,2018,USED,2021,3,اسود,America
620,GMC سيرا وانيت,GMC,7399.0,64700,2000,2018,USED,2022,4,ابيض,America
620,GMC سيرا وانيت,GMC,5600.0,29600,2000,2016,USED,2019,3,ابيض,America
620,GMC سيرا وانيت,GMC,4100.0,86125,2000,2014,USED,2019,5,ابيض,America
620,GMC سيرا وانيت,GMC,5600.0,95844,2000,2015,USED,2019,4,ابيض,America
620,GMC سيرا وانيت,GMC,5600.0,102475,2000,2015,USED,2019,4,ابيض,America
620,GMC سيرا وانيت,GMC,5600.0,91263,2000,2015,USED,2019,4,ابيض,America
620,GMC سيرا وانيت,GMC,5600.0,72448,2000,2015,USED,2019,4,ابيض,America
620,GMC سيرا وانيت,GMC,5600.0,86555,2000,2015,USED,2019,4,ابيض,America
620,GMC سيرا وانيت,GMC,5400.0,129250,2000,2015,USED,2019,4,ابيض,America
620,GMC سيرا وانيت,GMC,2700.0,157346,700,2013,USED,2019,6,ازرق,America
620,GMC سيرا وانيت,GMC,5535.0,52996,1211,2018,USED,2021,3,رمادى غامق,America
620,GMC سيرا وانيت,GMC,6200.0,65755,2700,2018,USED,2020,2,فضي,America
620,GMC سيرا وانيت,GMC,9100.0,80322,2700,2018,USED,2022,4,فضي,America
